meshblock_id,census_id,full_time,not_in_the_labour_force,part_time,status_unidentifiable,total,total_stated,unemployed
1192222,1,0,0,0,0,0,0,0
1192223,1,9,3,3,0,15,15,0
1192224,1,9,3,3,0,12,12,3
1192225,1,27,12,6,0,48,51,3
1192226,1,0,0,0,0,3,0,0
1192227,1,3,27,3,0,33,33,0
1192228,1,12,3,3,0,18,21,0
1192229,1,0,0,0,0,0,0,0
1192230,1,0,0,0,0,0,0,0
1192231,1,0,0,0,0,0,0,0
1192232,1,0,0,0,0,0,0,0
1192233,1,6,6,3,0,18,18,0
1192234,1,21,12,6,0,42,42,0
1192300,1,126,42,51,9,234,225,3
1192400,1,114,78,42,12,252,237,3
1192500,1,63,27,21,12,126,114,3
1192602,1,0,0,0,0,0,0,0
1192603,1,72,33,15,15,147,132,9
1192604,1,48,18,18,9,102,93,9
1192701,1,9,0,0,0,9,9,0
1192702,1,9,3,0,3,18,12,0
1192800,1,0,0,0,0,0,0,0
1192900,1,54,9,18,6,87,84,3
1193001,1,6,0,0,0,9,9,0
1193002,1,0,0,0,0,6,6,0
1193100,1,51,12,6,0,72,72,3
1193201,1,30,30,6,24,99,78,15
1193202,1,27,6,9,0,42,45,0
1193204,1,15,9,3,6,36,30,3
1193207,1,6,0,0,0,9,9,0
1193208,1,0,0,0,0,0,0,0
1193209,1,0,0,0,0,0,0,0
1193210,1,33,15,18,0,69,69,3
1193211,1,48,12,15,3,81,78,0
1193212,1,0,0,0,0,0,0,0
1193213,1,42,9,12,0,66,66,0
1193214,1,9,15,6,0,30,27,0
1193215,1,6,21,3,0,27,27,0
1193216,1,21,6,3,0,30,30,0
1193217,1,0,0,0,0,3,0,0
1193218,1,9,3,3,0,12,15,0
1193219,1,0,0,0,0,0,0,0
1193220,1,0,0,0,0,0,0,0
1193303,1,27,24,12,0,66,66,3
1193305,1,60,18,12,0,93,93,6
1193306,1,0,0,0,0,3,0,0
1193307,1,12,6,3,0,24,24,0
1193308,1,15,3,6,3,24,21,0
1193309,1,9,0,3,0,12,12,0
1193310,1,12,3,0,0,15,12,0
1193311,1,0,0,0,0,3,0,0
1193312,1,0,0,0,0,3,0,0
1193313,1,0,0,0,0,3,0,0
1193314,1,0,0,0,0,3,0,0
1193315,1,0,0,0,0,6,0,0
1193402,1,21,6,3,0,33,30,3
1193403,1,60,21,15,0,99,96,0
1193404,1,51,21,12,0,81,84,0
1193501,1,45,27,24,0,96,96,3
1193502,1,39,18,18,3,84,81,3
1193503,1,30,6,12,0,48,51,3
1193601,1,78,42,21,3,153,150,9
1193602,1,63,15,21,0,108,108,6
1193701,1,12,0,3,0,18,18,3
1193702,1,57,24,21,0,105,102,3
1193800,1,102,42,42,9,210,198,15
1193900,1,39,33,21,0,93,96,3
1194000,1,3,12,0,6,27,15,3
1194100,1,0,0,0,0,3,0,0
1194200,1,0,0,0,0,9,6,0
1194300,1,0,0,0,0,0,0,0
1194400,1,63,21,12,3,108,102,6
1194501,1,27,30,9,3,66,63,0
1194502,1,0,0,0,0,0,0,0
1194503,1,30,12,3,3,51,45,0
1194504,1,0,0,0,0,9,9,0
1194505,1,12,3,0,0,15,15,0
1194600,1,45,15,6,3,75,72,3
1194700,1,12,21,6,3,39,39,0
1194800,1,24,15,6,0,48,48,3
1194900,1,45,18,3,6,78,75,6
1195000,1,9,12,3,0,24,24,0
