meshblock_id,census_year_id,not_further_defined,other_types,separate_houses,total,two_or_more_flats
0020900,1,0,0,12,12,3
0021000,1,0,0,18,18,0
0021100,1,0,0,6,6,0
0021200,1,0,0,6,6,0
0021300,1,3,0,12,15,0
0021400,1,0,0,15,15,0
0021500,1,0,0,0,3,0
0021600,1,0,0,0,0,0
0021700,1,0,0,0,0,0
0021800,1,0,0,0,0,0
0021900,1,3,0,12,18,0
0022000,1,9,0,39,51,3
0022100,1,6,3,9,15,0
0022200,1,0,0,0,9,0
0022300,1,6,0,18,24,0
0022400,1,3,0,9,12,0
0022500,1,6,0,42,51,0
0022600,1,0,0,9,12,0
0022700,1,3,0,15,15,0
0022800,1,9,3,24,36,3
0022900,1,0,0,6,9,0
0023000,1,3,0,12,21,3
0023100,1,12,3,27,45,0
0023200,1,3,0,6,9,0
0023300,1,3,3,27,36,0
0023400,1,6,0,21,30,0
0023500,1,0,0,0,0,0
0023600,1,9,0,27,42,6
0023700,1,0,0,30,36,3
0023800,1,3,0,39,42,0
0023900,1,0,0,18,18,3
0024000,1,3,0,24,24,0
0024100,1,0,0,6,9,0
0024201,1,0,0,0,0,0
0024202,1,0,0,0,0,0
0024300,1,3,0,21,27,3
0024400,1,3,3,45,51,0
0024500,1,3,0,12,18,0
0024600,1,0,0,21,24,3
0024700,1,3,0,12,18,0
0024800,1,0,0,0,0,0
0024900,1,0,3,9,15,0
0025000,1,0,0,12,15,0
0025100,1,6,0,21,27,0
0025200,1,9,3,21,33,3
0025300,1,6,0,21,33,3
0025400,1,3,0,18,21,0
0025500,1,3,0,12,15,0
0025600,1,3,3,12,21,0
0025700,1,6,3,6,12,0
0025800,1,9,0,24,36,6
0025900,1,0,0,9,12,3
0026001,1,3,0,12,18,3
0026002,1,15,3,30,54,9
0026100,1,0,0,0,0,0
0026201,1,6,0,9,15,0
0026202,1,15,0,60,84,9
0026301,1,0,0,0,0,0
0026302,1,3,0,15,18,0
0026303,1,3,0,18,24,3
0026304,1,0,0,0,0,0
0026305,1,0,0,0,3,0
0026400,1,3,0,18,21,0
0026500,1,6,3,12,21,0
0026600,1,0,0,15,15,0
0026700,1,3,0,6,9,0
0026800,1,3,0,21,24,3
0026900,1,0,0,24,27,0
0027000,1,0,0,0,3,0
0027100,1,6,0,12,15,0
0027200,1,0,0,0,0,0
0027300,1,3,3,15,18,0
0027400,1,3,0,18,21,0
0027500,1,3,0,21,21,0
0027600,1,0,0,9,12,0
0027700,1,0,0,6,6,0
0027800,1,3,0,12,15,0
0027900,1,0,0,0,6,0
0028000,1,0,0,9,12,3
0028100,1,3,0,12,15,0
0028201,1,0,0,0,0,0
0028202,1,0,0,0,6,0
0028300,1,3,3,27,33,0
0028400,1,0,0,0,0,0
0028500,1,3,0,9,15,0
0028600,1,0,0,12,15,3
0028700,1,0,0,12,15,0
0028800,1,0,0,0,3,0
0028900,1,0,0,18,18,0
0029000,1,0,0,9,9,0
0029101,1,0,0,0,0,0
0029102,1,0,0,0,0,0
0029200,1,0,0,0,6,0
0029301,1,0,0,0,0,0
0029302,1,3,0,6,9,3
0029400,1,0,0,27,30,3
0029500,1,3,0,18,21,0
0029600,1,6,0,6,12,3
0029700,1,6,0,12,21,0
0029800,1,6,0,21,30,0
0029900,1,0,0,0,3,0
0030000,1,6,3,12,18,0
0030100,1,0,0,6,9,3
0030200,1,0,0,6,9,0
0030300,1,3,0,6,9,0
0030400,1,6,0,15,24,0
0030500,1,3,0,12,15,0
0030600,1,3,0,21,27,3
0030700,1,3,3,21,27,3
0030800,1,3,0,6,12,3
0030900,1,3,0,6,12,0
0031000,1,0,0,9,12,0
0031100,1,0,0,9,9,0
0031200,1,3,0,18,24,3
0031300,1,0,0,0,3,0
0031400,1,6,3,9,15,3
0031500,1,6,0,42,54,6
0031600,1,0,0,0,9,0
0031700,1,0,0,12,12,0
0031800,1,6,0,21,27,3
0031900,1,6,0,15,21,3
0032000,1,0,0,0,0,0
0032100,1,0,0,21,24,3
