meshblock_id,census_year_id,married,never,not_elsewhere_included,separated,total,total_stated
34600,1,27,12,3,6,45,45
34700,1,21,36,6,18,81,78
34800,1,15,3,3,3,27,21
34900,1,21,9,0,6,39,36
35000,1,24,24,3,9,63,60
35100,1,9,6,0,3,15,15
35200,1,45,18,6,15,84,75
35300,1,9,9,0,6,24,24
35401,1,0,0,0,0,9,6
35402,1,6,15,3,3,27,24
35501,1,15,15,0,6,33,30
35502,1,0,0,0,0,3,0
35600,1,18,9,3,9,42,36
35700,1,48,21,0,12,84,84
35800,1,24,24,9,18,72,66
35900,1,54,21,6,3,84,78
36000,1,12,6,0,3,21,21
36100,1,15,6,3,3,30,27
36202,1,0,0,0,0,3,0
36203,1,0,0,0,0,9,9
36204,1,6,3,0,0,12,9
36301,1,6,0,0,0,9,9
36302,1,33,18,3,9,63,60
36303,1,0,0,0,0,9,6
36401,1,12,3,9,3,24,15
36402,1,0,0,0,0,6,6
36500,1,24,6,15,3,48,33
36600,1,0,0,0,0,6,0
36700,1,30,24,6,15,72,66
36800,1,3,9,6,3,24,15
36901,1,3,0,3,3,9,6
36902,1,6,3,3,0,15,9
37000,1,15,15,9,6,45,36
37100,1,0,0,0,0,3,0
37202,1,0,0,0,0,9,0
37203,1,0,0,0,0,0,0
37204,1,0,0,0,0,0,0
37205,1,0,0,0,0,0,0
37301,1,0,0,0,0,0,0
37302,1,0,0,0,0,3,0
37401,1,24,21,15,9,69,54
37402,1,24,36,27,15,105,75
37501,1,6,9,3,9,24,21
37502,1,12,3,6,0,21,15
37600,1,15,9,3,9,36,36
37701,1,6,6,3,3,15,15
37702,1,6,3,9,3,18,12
37802,1,45,39,33,15,135,102
37803,1,12,12,3,9,36,33
37804,1,0,0,0,0,3,0
37805,1,0,0,0,0,6,0
37806,1,0,0,0,0,0,0
37807,1,30,6,3,6,45,42
37901,1,18,6,6,6,36,33
37902,1,0,0,0,0,0,0
38001,1,12,6,3,0,24,18
38002,1,0,0,0,0,0,0
38100,1,15,18,6,3,45,39
38200,1,21,12,6,12,51,45
38300,1,9,12,3,9,36,30
38400,1,9,15,3,0,27,24
38500,1,15,9,6,9,36,27
38600,1,27,12,3,3,42,39
38700,1,21,27,6,6,57,51
38800,1,0,0,0,0,3,0
38900,1,9,6,3,3,24,21
39000,1,27,12,15,9,66,48
39100,1,21,9,6,6,39,33
39200,1,12,6,0,3,21,21
39300,1,12,6,3,0,21,18
39400,1,3,0,3,0,9,6
39500,1,21,18,9,9,60,48
39600,1,15,12,12,6,48,36
39701,1,3,0,3,3,9,6
39702,1,6,3,3,0,12,9
39800,1,9,12,3,6,33,30
39900,1,21,18,15,3,60,42
40001,1,0,0,0,0,6,6
40002,1,6,3,6,3,18,12
40100,1,12,9,0,0,24,21
40200,1,15,15,9,3,45,33
40300,1,3,3,9,6,21,15
40400,1,0,0,9,0,12,0
40501,1,12,15,6,9,42,33
40502,1,0,0,0,0,0,0
40601,1,9,9,3,9,27,24
40602,1,0,0,0,0,0,0
40701,1,42,21,12,12,90,78
40702,1,6,18,12,3,39,30
40703,1,33,21,6,6,69,63
40801,1,39,27,6,12,84,78
40802,1,15,6,6,6,33,27
40900,1,21,21,6,15,63,57
41000,1,6,9,6,21,45,39
41100,1,30,21,9,15,75,66
41200,1,48,36,12,24,123,108
41300,1,54,45,12,27,138,126
41401,1,21,12,3,6,42,39
41402,1,21,39,12,9,81,69
41403,1,45,12,9,15,81,75
41500,1,15,9,3,3,30,30
41600,1,21,15,6,15,54,51
41700,1,33,30,12,15,90,81
41800,1,30,24,9,15,78,72
41900,1,33,15,9,12,66,57
42001,1,24,18,24,9,72,51
42002,1,18,24,18,12,72,54
42101,1,0,3,3,3,9,6
42102,1,18,18,6,6,48,42
42103,1,6,15,9,12,42,36
42201,1,3,0,21,3,27,3
42202,1,45,54,33,30,159,126
42300,1,27,42,18,18,102,87
42400,1,24,15,3,9,57,48
42500,1,18,27,6,15,63,57
42600,1,12,12,6,3,36,30
42700,1,21,21,3,6,54,51
42800,1,0,0,0,0,3,0
42900,1,9,9,6,9,36,33
43000,1,15,24,33,21,93,63
43100,1,24,27,15,12,81,63
43200,1,15,63,24,18,123,99
43300,1,9,9,0,15,33,30
43400,1,9,3,0,6,21,18
43500,1,45,36,6,15,99,96
43600,1,21,18,9,0,48,39
43700,1,0,0,0,0,9,9
43800,1,45,21,15,12,90,75
43902,1,12,3,0,0,15,15
43904,1,36,21,12,9,78,63
43905,1,42,9,6,9,66,60
43906,1,72,30,15,18,138,123
43907,1,42,15,15,18,87,75
44003,1,48,21,9,9,87,78
44004,1,54,15,3,12,81,78
44005,1,48,24,18,9,93,75
44006,1,24,15,18,9,66,48
44007,1,0,0,0,0,9,6
44008,1,18,9,6,6,39,36
44101,1,0,0,0,0,0,0
44102,1,81,39,45,18,183,138
44201,1,6,18,9,6,39,30
44202,1,0,0,0,0,3,0
44301,1,27,15,21,9,72,51
44302,1,0,0,0,0,0,0
44402,1,0,0,0,0,0,0
44403,1,42,6,6,6,60,54
44404,1,81,15,21,24,144,123
44405,1,42,6,3,3,57,54
44406,1,72,18,6,21,114,111
44501,1,96,24,9,18,150,138
44503,1,6,3,3,0,12,12
44504,1,39,15,3,6,66,60
44505,1,36,6,0,9,54,51
44506,1,0,0,0,0,6,6
44507,1,30,6,0,0,36,36
44508,1,21,6,3,3,33,30
44602,1,48,18,9,15,90,81
44603,1,18,6,3,3,36,30
44604,1,0,0,0,0,6,0
44605,1,24,6,6,3,39,36
44606,1,21,0,0,0,21,21
44607,1,6,0,0,0,9,6
44608,1,6,0,0,0,9,9
44609,1,6,0,0,6,9,9
44610,1,12,3,0,0,12,12
44611,1,0,0,0,0,0,0
44701,1,33,12,9,6,63,54
44702,1,66,27,9,6,111,102
44703,1,0,0,0,0,6,6
44801,1,60,15,12,15,105,93
44803,1,24,15,0,3,39,39
44804,1,30,9,9,6,54,45
44805,1,15,3,3,0,24,21
44806,1,21,3,3,6,33,33
44807,1,33,3,6,0,42,36
44808,1,27,6,9,3,42,36
44901,1,30,9,0,3,42,42
44902,1,3,6,3,6,12,12
45000,1,24,24,3,12,60,57
45100,1,27,6,6,0,39,36
45200,1,15,6,3,3,27,24
45300,1,12,15,3,12,42,39
45400,1,15,9,0,6,27,27
45500,1,6,3,0,3,12,12
45600,1,12,3,0,6,21,21
45700,1,3,6,0,3,12,9
45800,1,21,9,3,6,36,36
45901,1,12,3,3,9,21,21
45902,1,18,3,0,0,21,21
46001,1,12,6,0,3,21,18
46002,1,9,6,0,3,15,15
46100,1,15,6,0,6,24,24
46200,1,12,3,3,3,18,18
46300,1,6,9,0,6,21,18
46400,1,18,15,9,3,42,36
46500,1,3,3,3,0,15,9
46600,1,6,9,0,0,15,15
46700,1,15,12,9,3,39,33
46801,1,6,0,9,0,15,9
46802,1,6,3,12,3,24,12
46901,1,0,0,0,0,9,6
46902,1,6,3,3,0,12,12
47001,1,0,0,6,0,6,0
47002,1,3,3,18,0,21,3
47100,1,0,0,15,0,12,0
47200,1,0,0,0,0,9,0
47301,1,9,15,9,3,36,30
47302,1,6,0,0,0,6,9
47400,1,6,3,3,3,15,9
47500,1,6,6,6,0,21,12
47601,1,0,0,0,0,3,0
47602,1,3,3,6,3,9,6
47603,1,21,3,9,3,36,30
47701,1,12,9,0,6,30,30
47702,1,0,0,0,0,3,0
47801,1,9,6,0,3,21,21
47802,1,0,0,0,0,3,0
47901,1,24,9,3,9,42,42
47902,1,0,0,0,0,0,0
48001,1,21,12,0,3,36,33
48003,1,0,0,0,0,0,0
48004,1,9,6,3,3,21,21
48101,1,0,0,0,0,6,6
48102,1,3,3,0,3,9,9
48201,1,0,0,0,0,0,0
48203,1,21,21,9,3,57,48
48204,1,36,21,18,9,90,69
48205,1,0,0,0,0,6,0
48301,1,0,0,0,0,0,0
48303,1,27,6,18,9,60,42
48304,1,18,6,9,6,39,30
48403,1,0,0,0,0,0,0
48404,1,39,18,6,21,84,81
48405,1,0,0,0,0,0,0
48406,1,0,0,0,0,0,0
48407,1,0,0,0,0,6,0
48408,1,45,15,12,18,90,75
48409,1,69,12,6,15,102,96
48410,1,63,18,6,21,111,102
48500,1,6,6,27,6,48,21
48601,1,0,0,0,0,0,0
48602,1,0,0,0,0,9,0
48701,1,0,0,0,0,0,0
48702,1,30,6,12,9,57,42
48800,1,9,3,0,6,15,18
48900,1,9,12,0,6,24,24
49000,1,18,15,18,12,63,45
49102,1,15,6,21,3,45,24
49103,1,0,0,0,0,0,0
49104,1,0,0,0,0,6,0
49105,1,0,0,0,0,0,0
49203,1,0,0,0,0,0,0
49204,1,84,27,12,30,153,141
49205,1,0,0,0,0,0,0
49206,1,51,18,3,12,78,78
49302,1,75,9,9,27,123,111
49303,1,6,3,3,0,15,12
49304,1,24,9,0,6,39,39
49305,1,15,0,3,0,15,18
49306,1,27,9,3,9,48,45
49307,1,21,6,3,6,36,36
49401,1,69,24,0,12,108,108
49403,1,0,0,0,0,9,6
49404,1,0,0,0,0,0,0
49405,1,30,21,3,9,63,57
49406,1,12,12,6,15,48,39
49407,1,9,24,0,9,42,42
49501,1,0,0,0,0,0,0
49502,1,0,0,0,0,0,0
49503,1,0,0,0,0,0,0
49504,1,24,6,0,3,33,33
49505,1,15,3,6,3,27,21
49506,1,9,0,3,12,24,21
49507,1,12,6,0,9,24,21
49600,1,63,33,18,18,129,114
49700,1,126,39,18,18,201,183
49801,1,42,18,21,21,102,81
