meshblock_id,census_year_id,full_and_part_time,full_time,not_stated,not_studying,part_time,total,total_stated
2951000,2,0,6,15,48,0,72,54
2951100,2,0,6,6,39,0,51,45
2951200,2,0,12,9,72,3,93,87
2951300,2,0,6,3,45,0,54,51
2951400,2,0,9,27,51,9,93,66
2951500,2,0,15,9,63,6,87,81
2951600,2,0,9,3,66,0,84,78
2951700,2,0,9,6,57,6,81,72
2951801,2,0,9,3,48,3,63,63
2951802,2,0,0,0,0,0,0,0
2951900,2,0,3,3,45,3,57,51
2952001,2,0,9,3,30,0,42,39
2952002,2,0,0,3,24,3,30,27
2952003,2,0,3,6,33,0,45,39
2952100,2,0,0,6,21,0,30,21
2952200,2,0,3,6,30,0,39,33
2952300,2,0,9,9,60,6,81,72
2952400,2,0,12,9,87,6,111,102
2952500,2,0,6,6,27,3,42,36
2952600,2,0,0,21,9,0,33,9
2952700,2,0,9,6,147,9,171,165
2952800,2,0,3,3,42,0,51,45
2952900,2,0,6,6,96,6,111,105
2953000,2,0,0,9,36,3,48,36
2953100,2,0,0,0,42,0,45,42
2953200,2,0,0,3,21,3,27,24
2953300,2,0,0,0,15,0,15,15
2953400,2,0,6,12,60,3,78,69
2953500,2,0,3,12,96,3,117,105
2953600,2,0,6,3,33,0,42,39
2953700,2,0,3,6,27,3,33,30
2953800,2,0,3,3,72,3,81,78
2953900,2,0,6,12,66,6,87,78
2954000,2,0,6,9,75,3,93,81
2954101,2,0,0,0,15,3,18,21
2954102,2,0,9,9,72,3,93,84
2954201,2,0,3,9,93,3,108,99
2954202,2,0,0,0,6,0,9,9
2954300,2,0,6,15,45,3,66,54
2954400,2,0,0,0,0,0,0,0
2954500,2,0,0,3,9,0,12,9
2954600,2,0,0,0,6,0,9,9
2954700,2,0,3,9,48,6,63,57
2954802,2,0,3,6,30,3,42,36
2954803,2,0,0,0,0,0,0,0
2954804,2,0,0,0,0,0,3,0
2954900,2,0,15,3,108,3,132,129
2955000,2,0,6,9,72,3,90,81
2955100,2,0,6,3,66,0,72,69
2955200,2,0,6,9,84,0,99,93
2955300,2,0,15,15,147,9,189,174
2955400,2,0,6,9,57,6,75,66
2955501,2,0,6,12,123,3,144,132
2955502,2,0,9,9,72,0,93,81
2955600,2,0,3,3,45,3,57,54
2955700,2,0,3,3,24,6,36,33
2955800,2,0,0,6,45,3,51,45
2955901,2,0,3,3,18,0,21,18
2955902,2,0,0,0,18,3,24,21
