meshblock_id,census_year_id,household,looking_after_child_not_own_household,looking_after_child_own_household,looking_after_not_own_household_member_who_is_ill_or_disable,looking_after_own_household_member_who_is_ill_or_disabled,none,not_elsewhere_included,total,total_stated,voluntary
1248900,2,30,9,15,0,3,0,0,36,33,9
1249001,2,78,15,27,12,9,6,6,96,90,15
1249002,2,150,45,66,18,15,15,15,186,171,18
1249100,2,57,15,36,6,9,3,9,72,63,12
1249200,2,48,9,18,6,9,3,15,69,54,12
1249300,2,48,15,24,6,6,6,6,60,54,15
1249400,2,0,0,0,0,0,0,0,6,0,0
1249500,2,99,15,48,15,12,9,18,135,120,27
1249602,2,102,18,33,12,12,3,6,111,105,24
1249603,2,117,24,48,9,6,9,12,141,129,18
1249604,2,0,0,0,0,0,0,0,0,0,0
1249605,2,60,15,24,6,6,6,0,72,69,9
1249606,2,90,24,45,12,6,6,12,111,99,21
1249700,2,132,24,42,9,12,12,15,165,147,27
1249801,2,54,15,27,12,6,3,3,60,60,15
1249802,2,48,12,24,9,6,3,3,57,54,12
1249803,2,36,6,12,3,3,0,3,39,36,9
1249804,2,63,6,18,6,6,3,3,69,66,12
1249901,2,138,24,57,18,12,12,9,162,153,21
1249902,2,0,0,0,0,0,0,0,6,0,0
1250001,2,132,21,54,9,6,9,9,150,141,21
1250002,2,21,3,6,3,0,3,3,24,21,3
1250004,2,48,9,15,3,3,3,0,51,48,3
1250005,2,30,6,15,0,3,0,0,30,27,3
1250101,2,15,0,12,0,0,0,0,15,15,0
1250102,2,48,6,18,6,0,3,3,57,54,12
1250200,2,75,15,27,9,6,9,9,96,87,24
1250300,2,87,21,48,6,12,3,6,99,90,18
1250401,2,9,0,0,0,0,0,0,12,9,0
1250402,2,18,6,9,0,0,3,6,27,21,3
1250500,2,48,15,30,12,9,6,6,66,60,21
1250600,2,33,9,18,15,6,6,6,42,39,9
1250701,2,63,18,27,12,12,6,6,78,75,15
1250702,2,12,3,6,0,0,3,6,21,12,3
1250703,2,12,3,3,3,0,3,3,18,18,3
1250704,2,21,3,0,0,0,0,0,24,24,3
1250705,2,15,0,6,0,3,0,3,18,15,3
1250706,2,9,0,0,0,0,0,0,9,9,0
1250707,2,39,3,12,6,3,3,0,42,42,9
1250708,2,18,3,6,3,0,0,0,18,18,9
1250709,2,0,0,0,0,0,0,0,3,0,0
1250801,2,15,9,9,3,3,3,3,21,18,6
1250802,2,18,6,12,0,3,0,3,24,24,3
1250803,2,6,0,0,0,0,0,0,12,9,0
1250804,2,0,0,0,0,0,0,0,6,0,0
1250900,2,9,0,6,0,0,0,0,15,15,0
1251000,2,21,6,15,3,3,3,6,30,24,6
1251100,2,15,9,6,3,0,0,18,36,18,9
1251202,2,150,30,66,21,9,9,12,171,162,36
1251203,2,39,9,15,6,3,3,3,48,42,6
1251204,2,120,27,45,15,6,6,3,132,126,18
1251205,2,210,39,84,27,18,15,21,249,228,48
1251206,2,129,15,42,18,6,18,6,156,147,27
1251207,2,9,0,0,0,0,0,0,15,12,0
1251300,2,57,15,12,12,9,6,15,75,60,18
1251400,2,33,9,21,3,6,3,9,48,36,9
1251500,2,51,9,15,9,3,6,18,78,57,21
1251603,2,36,3,6,3,3,3,3,45,42,6
1251604,2,96,15,33,9,9,9,9,114,102,21
1251605,2,207,27,93,21,15,9,18,237,219,33
1251606,2,0,0,0,0,0,0,0,0,0,0
1251607,2,27,3,6,3,0,6,0,30,30,3
1251608,2,33,6,12,6,6,3,3,42,39,9
1251609,2,21,9,15,6,6,3,6,33,27,9
1251700,2,9,0,0,0,0,0,0,12,12,0
1251800,2,0,0,0,0,0,0,0,0,0,0
1251900,2,66,15,39,6,12,15,12,108,93,36
1252000,2,126,24,57,12,15,15,15,159,141,27
1252100,2,39,9,15,9,6,0,15,51,39,12
1252201,2,0,0,0,0,0,0,0,0,0,0
1252202,2,0,0,0,0,0,0,0,0,0,0
1252300,2,51,15,18,6,3,6,9,66,57,15
1252400,2,42,12,18,9,9,9,21,72,54,18
1252501,2,0,0,0,0,0,0,0,0,0,0
1252503,2,36,9,6,6,3,3,6,45,39,3
1252504,2,0,0,0,0,0,0,0,3,0,0
1252602,2,12,0,0,0,0,0,0,15,15,0
1252603,2,15,3,6,3,3,0,3,21,18,6
1252604,2,0,0,0,0,0,0,0,0,0,0
1252700,2,75,18,30,9,3,12,21,108,87,18
1252801,2,15,9,12,0,0,0,0,18,21,9
1252802,2,60,9,21,12,3,6,6,78,72,15
1252803,2,36,3,9,6,6,3,6,48,42,6
1252900,2,63,15,24,3,9,6,12,84,72,27
1253001,2,0,0,0,0,0,0,0,0,0,0
1253002,2,18,6,9,3,3,0,3,21,18,6
1253100,2,6,0,0,0,0,0,0,9,9,0
1253200,2,30,9,21,6,6,3,3,39,36,12
1253300,2,51,12,24,3,12,3,9,69,57,9
1253400,2,12,0,6,0,0,0,0,15,12,0
1253501,2,84,21,42,12,12,9,9,105,96,9
1253502,2,78,21,42,6,9,6,15,105,90,24
1253601,2,51,12,9,12,6,9,15,72,54,6
1253602,2,105,33,39,12,6,6,9,126,117,15
1253701,2,69,15,21,9,6,6,3,84,78,18
1253702,2,48,3,12,6,3,9,12,69,57,6
1253800,2,78,15,30,15,12,9,9,102,90,21
1253901,2,63,12,24,12,9,3,9,81,69,12
1253903,2,120,33,51,15,12,9,36,171,135,30
1253905,2,87,33,48,6,9,9,12,114,102,18
1253906,2,138,45,69,21,15,9,27,180,153,27
1253907,2,72,21,39,6,9,6,15,96,81,12
1253908,2,99,24,54,9,18,6,18,129,108,21
1254000,2,72,12,39,9,12,9,15,96,81,24
1254100,2,114,12,42,12,9,15,12,141,129,9
1254200,2,87,27,36,15,21,9,15,111,99,27
