meshblock_id,census_year_id,ex,never,not_elsewhere_included,regular,total,total_stated
23000,2,6,6,6,21,39,33
23100,2,15,36,15,42,102,90
23200,2,9,6,6,15,33,33
23300,2,6,30,9,21,63,57
23400,2,12,21,9,21,63,54
23500,2,0,0,0,0,0,0
23600,2,18,33,0,15,66,66
23700,2,12,33,6,21,72,69
23800,2,21,15,12,21,66,54
23900,2,9,9,15,9,42,27
24000,2,9,33,3,15,60,60
24100,2,9,9,0,6,21,24
24201,2,0,0,0,0,3,0
24202,2,0,0,0,0,3,0
24300,2,18,18,21,21,75,57
24400,2,9,30,15,36,93,78
24500,2,9,12,3,18,42,39
24600,2,9,9,12,12,42,30
24700,2,3,6,12,3,21,9
24800,2,0,0,0,0,3,0
24900,2,9,18,0,3,30,27
25000,2,3,12,3,6,27,24
25100,2,9,24,6,3,45,39
25200,2,24,15,3,18,63,60
25300,2,12,18,9,15,54,45
25400,2,12,15,12,9,45,33
25500,2,12,12,15,3,42,24
25600,2,15,15,3,9,42,39
25700,2,6,6,3,9,21,21
25800,2,15,24,15,27,81,66
25900,2,12,9,15,21,57,39
26001,2,0,0,0,0,6,0
26002,2,9,24,12,15,57,45
26100,2,6,3,9,3,18,12
26201,2,6,9,3,12,30,30
26202,2,30,51,39,51,171,132
26301,2,0,0,0,0,0,0
26302,2,3,15,3,9,30,27
26303,2,0,0,0,0,3,0
26304,2,3,6,0,3,12,9
26305,2,6,15,3,3,27,24
26400,2,12,12,3,9,30,30
26500,2,9,12,15,18,54,42
26600,2,9,21,3,12,48,42
26700,2,3,12,0,3,15,15
26800,2,12,9,3,12,33,33
26900,2,12,12,3,12,42,36
27000,2,0,0,0,0,6,0
27100,2,9,15,9,18,48,39
27200,2,0,0,0,0,0,0
27300,2,3,6,3,6,12,9
27400,2,3,3,3,9,21,18
27500,2,9,9,6,6,33,27
27600,2,3,9,6,3,18,12
27700,2,15,9,3,6,36,33
27800,2,3,6,3,12,21,21
27900,2,3,6,3,6,18,15
28000,2,6,3,6,9,30,21
28100,2,9,12,3,9,33,30
28201,2,0,3,3,3,9,6
28202,2,3,6,3,9,21,18
28300,2,24,27,6,18,75,69
28400,2,0,0,0,0,0,0
28500,2,6,6,0,9,24,21
28600,2,3,9,3,6,24,18
28700,2,9,6,3,3,21,18
28800,2,3,9,0,3,12,12
28900,2,9,15,12,9,45,33
29000,2,3,6,3,3,15,12
29101,2,0,0,0,0,3,0
29102,2,0,0,0,0,0,0
29200,2,9,9,3,15,33,30
29301,2,0,0,0,0,0,0
29302,2,3,3,3,6,15,12
29400,2,3,12,12,3,30,21
29500,2,9,9,6,12,36,30
29600,2,3,9,6,12,27,24
29700,2,6,6,3,18,33,27
29800,2,9,15,6,18,48,42
29900,2,3,9,6,3,18,12
30000,2,6,15,6,15,39,33
30100,2,3,3,0,18,21,21
30200,2,9,6,6,6,21,18
30300,2,9,0,3,12,21,21
30400,2,0,6,3,9,18,15
30500,2,3,12,3,18,33,33
30600,2,6,18,12,9,45,36
30700,2,6,21,6,27,66,57
30800,2,9,6,6,9,30,24
30900,2,9,3,6,6,18,15
31000,2,6,9,0,0,18,18
31100,2,6,6,6,3,21,15
31200,2,12,18,3,9,39,36
31300,2,3,9,6,9,30,21
31400,2,9,6,3,9,27,24
31500,2,21,33,9,30,93,84
31600,2,0,9,21,6,36,18
31700,2,3,3,21,0,24,3
31800,2,18,15,6,12,54,48
31900,2,9,9,12,12,45,33
32000,2,0,0,0,0,3,0
32100,2,9,21,12,9,51,36
32200,2,6,6,0,3,15,12
32300,2,21,36,12,24,90,78
32400,2,3,6,0,3,15,12
32501,2,12,18,12,9,54,39
32502,2,0,0,0,0,0,0
32600,2,15,30,9,27,81,72
32700,2,3,9,6,6,24,18
32800,2,0,3,6,3,12,9
32900,2,0,15,3,9,21,18
33000,2,15,21,3,15,54,48
33100,2,24,45,15,27,111,96
33200,2,6,15,0,6,24,27
33300,2,3,9,3,0,15,12
33400,2,6,21,3,9,39,36
33500,2,3,9,0,3,18,15
33600,2,27,48,24,15,114,90
33700,2,39,66,30,18,156,123
33800,2,24,51,18,12,105,87
33900,2,15,30,6,9,60,54
34000,2,9,15,9,3,36,30
34101,2,45,63,21,21,150,129
34102,2,3,12,6,3,24,18
34201,2,9,36,9,9,66,57
34202,2,12,39,12,18,84,72
34301,2,9,27,6,6,48,45
34302,2,0,0,0,0,6,0
