meshblock_id,census_year_id,housing_new_zealand,local_authority_or_city_council,not_elsewhere_included,private_person_trust_or_business,stated_owned,total,total_stated
4207,1,0,0,0,0,0,0,0
4208,1,0,0,0,0,0,3,0
4209,1,0,0,0,0,0,0,0
4210,1,0,0,0,0,0,0,0
4301,1,0,0,0,6,0,6,6
4302,1,0,0,0,15,0,15,15
4400,1,0,0,0,0,0,3,0
4501,1,0,0,0,0,0,0,0
4502,1,0,0,0,0,0,0,0
4600,1,0,0,0,0,0,0,0
4700,1,0,0,0,0,0,0,0
4800,1,0,0,0,0,0,0,0
4900,1,0,0,0,15,3,15,18
5000,1,0,0,0,0,0,3,0
5100,1,0,6,0,15,0,21,21
5201,1,0,0,0,0,0,6,0
5202,1,0,0,0,0,0,0,0
5300,1,0,0,0,0,0,0,0
5400,1,0,0,0,0,0,0,0
5500,1,0,0,0,6,0,9,6
5600,1,0,0,3,9,0,9,12
5700,1,0,0,0,6,0,9,9
5800,1,0,0,0,0,0,0,0
5900,1,0,0,0,0,0,3,0
6000,1,0,0,0,0,0,3,0
6100,1,0,0,0,0,0,0,0
6200,1,0,0,0,0,0,3,0
6300,1,0,0,0,0,0,6,0
6400,1,0,0,0,0,0,3,0
6500,1,0,0,0,0,0,6,0
6600,1,0,0,0,9,0,9,9
6700,1,0,0,0,0,0,3,0
6800,1,0,0,0,0,0,3,0
6900,1,0,0,0,9,0,9,9
7000,1,0,0,0,0,0,0,0
7101,1,0,0,0,0,0,0,0
7102,1,0,0,0,0,0,0,0
7201,1,0,0,0,0,0,3,0
7202,1,0,9,3,3,0,15,12
7300,1,0,0,0,6,0,9,9
7400,1,0,0,0,0,0,0,0
7500,1,0,0,0,0,0,0,0
7600,1,0,0,0,0,0,6,0
7700,1,0,0,0,0,0,3,0
7801,1,0,0,0,0,0,3,0
7802,1,0,0,0,0,0,0,0
7900,1,0,0,0,6,0,9,6
8000,1,0,0,0,0,0,3,0
8100,1,0,0,0,0,0,0,0
8200,1,0,0,0,0,0,6,0
8301,1,0,0,0,9,0,9,9
8302,1,0,0,0,0,0,3,0
8401,1,0,0,0,0,0,3,0
8403,1,0,0,0,0,0,0,0
8404,1,0,0,0,0,0,6,6
8501,1,0,0,0,0,0,3,0
8502,1,6,0,0,9,0,15,12
8600,1,0,0,0,0,0,3,0
8700,1,0,0,0,0,0,3,0
8800,1,0,0,0,0,0,3,0
8901,1,0,0,0,0,0,0,0
8902,1,0,0,0,0,0,3,0
9001,1,0,0,0,0,0,3,0
9002,1,0,0,0,0,0,0,0
9101,1,0,0,0,0,0,3,0
9102,1,0,0,0,0,0,6,0
9103,1,0,0,0,0,0,0,0
9200,1,0,0,0,0,0,3,0
9300,1,0,0,0,0,0,3,0
9400,1,0,0,0,0,0,3,0
9500,1,0,0,0,0,0,0,0
9600,1,0,0,0,0,0,0,0
9700,1,0,0,0,0,0,3,0
9800,1,0,0,0,0,0,0,0
9900,1,0,0,0,0,0,0,0
10005,1,0,0,0,0,0,3,0
10006,1,0,0,0,9,0,6,6
10007,1,0,0,0,0,0,3,0
10008,1,0,0,0,0,0,3,0
10009,1,0,0,0,0,0,3,0
10010,1,0,0,0,0,0,3,0
10011,1,0,0,0,0,0,6,0
10012,1,0,0,0,0,0,3,0
10013,1,0,0,0,0,0,0,0
10014,1,0,0,0,0,0,0,0
10101,1,0,0,0,9,0,12,9
10102,1,0,6,0,12,0,18,18
10200,1,0,0,0,0,0,0,0
