meshblock_id,census_year_id,females,males,total
43904,1,48,57,105
43905,1,48,48,93
43906,1,102,87,186
43907,1,57,45,102
44003,1,57,69,123
44004,1,51,57,108
44005,1,75,63,138
44006,1,42,54,93
44007,1,3,6,12
44008,1,24,27,48
44101,1,0,0,0
44102,1,126,114,237
44201,1,24,39,63
44202,1,0,0,3
44301,1,48,42,87
44302,1,0,0,0
44402,1,0,0,0
44403,1,33,42,75
44404,1,93,87,180
44405,1,36,30,69
44406,1,66,75,138
44501,1,96,105,201
44503,1,12,6,18
44504,1,48,48,96
44505,1,36,36,72
44506,1,3,3,9
44507,1,24,18,45
44508,1,18,18,36
44602,1,54,54,105
44603,1,21,24,45
44604,1,6,3,9
44605,1,24,24,45
44606,1,12,15,27
44607,1,3,6,6
44608,1,6,6,12
44609,1,6,6,9
44610,1,3,12,15
44611,1,0,0,0
44701,1,51,42,90
44702,1,63,84,147
44703,1,3,6,9
44801,1,69,75,144
44803,1,27,24,51
44804,1,33,39,75
44805,1,18,15,30
44806,1,24,21,42
44807,1,30,27,57
44808,1,30,27,57
44901,1,39,27,66
44902,1,12,12,18
45000,1,36,45,75
45100,1,21,24,45
45200,1,21,21,42
45300,1,27,33,57
45400,1,15,24,36
45500,1,6,12,15
45600,1,24,18,39
45700,1,9,9,18
45800,1,30,33,63
45901,1,12,18,30
45902,1,27,15,39
46001,1,12,9,24
46002,1,9,9,21
46100,1,12,15,27
46200,1,12,15,27
46300,1,15,15,27
46400,1,36,36,72
46500,1,6,12,21
46600,1,9,9,15
46700,1,27,30,60
46801,1,12,9,18
46802,1,15,18,30
46901,1,6,6,9
46902,1,9,9,21
47001,1,6,3,6
47002,1,18,18,33
47100,1,6,9,18
47200,1,3,3,9
47301,1,30,30,60
47302,1,3,6,9
47400,1,9,9,18
47500,1,12,15,30
47601,1,3,6,9
47602,1,6,6,12
47603,1,27,24,51
47701,1,18,21,42
47702,1,0,0,3
47801,1,15,12,27
47802,1,0,0,3
47901,1,27,27,54
47902,1,0,0,0
48001,1,21,27,48
48003,1,0,0,0
48004,1,9,15,24
48101,1,3,3,6
48102,1,6,9,15
48201,1,0,0,0
48203,1,36,42,78
48204,1,69,69,138
48205,1,3,3,6
48301,1,0,0,0
48303,1,39,39,78
48304,1,24,24,51
48403,1,0,0,0
48404,1,45,57,102
48405,1,0,0,0
48406,1,0,0,0
48407,1,0,0,3
48408,1,48,51,99
48409,1,60,60,120
48410,1,60,66,129
48500,1,27,30,57
48601,1,0,0,0
48602,1,3,6,9
48701,1,0,0,0
48702,1,42,30,75
48800,1,9,12,18
48900,1,21,18,39
49000,1,45,48,93
49102,1,30,30,63
49103,1,0,0,0
49104,1,3,3,6
49105,1,0,0,0
49203,1,0,0,0
49204,1,105,87,189
49205,1,0,0,0
49206,1,54,51,105
49302,1,81,72,153
49303,1,12,12,21
49304,1,27,21,48
49305,1,9,12,21
49306,1,30,27,54
49307,1,27,21,51
49401,1,78,69,150
49403,1,6,6,9
49404,1,0,0,0
49405,1,39,39,78
49406,1,30,27,57
49407,1,33,27,60
49501,1,0,0,0
49502,1,0,0,0
49503,1,0,0,3
49504,1,18,21,39
49505,1,15,15,30
49506,1,15,9,24
49507,1,15,15,30
49600,1,66,84,147
49700,1,123,123,249
49801,1,60,60,120
49802,1,129,108,237
49901,1,33,30,63
49903,1,0,0,0
49904,1,9,9,21
49905,1,27,18,42
50001,1,15,12,27
50002,1,6,3,9
50003,1,27,33,60
50004,1,6,9,12
50100,1,132,126,255
50201,1,9,6,12
