meshblock_id,census_year_id,employer,not_elsewhere_included,paid_employee,self_employed_without_employee,total,total_stated,unpaid_family_worker
27200,1,0,0,0,0,0,0,0
27300,1,0,3,6,3,18,12,3
27400,1,0,0,6,3,9,9,3
27500,1,0,0,6,6,15,15,6
27600,1,0,0,0,0,9,9,0
27700,1,0,0,0,0,6,6,0
27800,1,0,0,12,0,12,12,3
27900,1,0,0,0,0,6,0,0
28000,1,0,0,0,0,6,9,0
28100,1,0,3,9,3,12,9,0
28201,1,0,0,0,0,3,0,0
28202,1,0,0,0,0,6,6,0
28300,1,0,3,9,15,33,27,0
28400,1,0,0,0,0,0,0,0
28500,1,0,3,3,3,15,12,3
28600,1,3,0,3,0,12,9,0
28700,1,0,0,6,6,12,12,0
28800,1,0,0,0,0,3,0,0
28900,1,0,3,15,3,24,21,3
29000,1,0,0,0,0,9,9,0
29101,1,0,0,0,0,0,0,0
29102,1,0,0,0,0,0,0,0
29200,1,0,0,0,0,6,6,0
29301,1,0,0,0,0,0,0,0
29302,1,0,0,0,0,6,0,0
29400,1,0,3,9,3,21,21,9
29500,1,0,0,9,3,12,15,3
29600,1,0,0,0,0,3,0,0
29700,1,0,0,0,0,9,9,0
29800,1,0,6,15,0,27,21,6
29900,1,0,0,0,0,3,0,0
30000,1,0,3,6,3,12,9,3
30100,1,0,0,6,0,6,9,0
30200,1,0,0,0,0,3,0,0
30300,1,0,0,0,0,3,0,0
30400,1,0,0,0,0,3,0,0
30500,1,0,3,9,3,15,15,3
30600,1,0,3,9,0,12,9,0
30700,1,0,0,12,3,15,15,3
30800,1,0,3,9,3,12,12,3
30900,1,0,0,0,0,3,0,0
31000,1,0,0,6,6,12,15,0
31100,1,0,0,6,0,12,12,3
31200,1,3,0,12,6,21,21,0
31300,1,0,0,0,0,3,0,0
31400,1,0,0,9,9,15,15,0
31500,1,0,3,18,6,27,24,3
31600,1,0,0,0,0,3,0,0
31700,1,0,0,6,6,15,15,0
31800,1,3,3,9,12,27,24,3
31900,1,0,0,6,0,15,15,6
32000,1,0,0,0,0,3,0,0
32100,1,6,0,15,9,30,30,3
32200,1,0,0,0,0,6,9,0
32300,1,9,3,39,3,51,51,3
32400,1,0,0,6,0,6,9,0
32501,1,3,0,21,6,30,33,3
32502,1,0,0,0,0,0,0,0
32600,1,0,3,18,0,24,21,0
32700,1,0,0,9,0,12,12,3
32800,1,3,0,6,3,12,12,3
32900,1,0,0,0,0,9,12,0
33000,1,3,0,12,3,21,18,0
33100,1,3,0,33,6,42,42,0
33200,1,3,0,6,3,15,12,0
33300,1,0,0,0,0,6,6,0
33400,1,0,0,9,9,24,24,3
33500,1,3,0,6,3,12,12,0
33600,1,9,0,27,21,66,69,6
33700,1,12,3,39,15,66,66,3
33800,1,6,3,33,15,66,66,9
33900,1,9,3,21,15,48,45,3
34000,1,9,0,12,3,21,21,0
34101,1,6,0,36,21,75,72,6
34102,1,0,0,0,0,9,6,0
34201,1,6,0,21,12,39,36,0
34202,1,6,0,30,9,45,42,3
34301,1,0,0,9,3,15,15,0
34302,1,0,0,0,0,0,0,0
34400,1,3,0,15,6,33,30,3
34500,1,3,0,15,9,27,27,3
34600,1,9,0,15,9,39,39,3
34700,1,3,3,24,9,39,36,3
34800,1,0,0,9,6,12,15,0
34900,1,3,0,9,6,18,18,3
35000,1,3,0,21,21,45,48,0
35100,1,3,0,3,6,15,12,0
35200,1,9,3,27,9,57,51,9
35300,1,0,0,12,0,15,12,3
35401,1,0,0,0,0,3,0,0
35402,1,0,0,9,0,9,9,0
