meshblock_id,census_year_id,do_not_own,not_elsewhere_included,own_or_partly_own,total_people,total_stated
20200,1,54,18,72,147,126
20300,1,24,9,30,66,57
20401,1,39,33,63,135,102
20402,1,45,24,51,117,93
20500,1,0,0,0,6,0
20600,1,9,0,12,21,18
20700,1,12,21,15,48,30
20800,1,12,6,12,33,27
20900,1,6,3,18,24,21
21000,1,0,24,12,39,12
21100,1,0,6,3,12,6
21200,1,3,9,3,15,6
21300,1,3,12,15,30,15
21400,1,3,15,15,36,18
21500,1,0,0,0,6,0
21600,1,0,0,0,0,0
21700,1,0,0,0,0,0
21800,1,0,0,0,0,0
21900,1,3,9,15,30,21
22000,1,48,18,36,105,87
22100,1,15,3,12,27,27
22200,1,3,3,12,15,15
22300,1,15,15,21,51,36
22400,1,9,6,12,24,24
22500,1,51,27,48,129,102
22600,1,6,6,9,21,15
22700,1,3,9,15,27,21
22800,1,27,27,27,75,48
22900,1,3,6,12,21,18
23000,1,12,15,9,33,21
23100,1,42,24,42,111,87
23200,1,6,3,12,21,18
23300,1,12,6,39,60,54
23400,1,27,9,30,63,54
23500,1,0,0,0,0,0
23600,1,33,9,30,66,60
23700,1,24,15,30,69,54
23800,1,45,24,24,96,72
23900,1,15,6,18,39,33
24000,1,39,6,27,75,66
24100,1,3,0,9,15,12
24201,1,0,0,0,0,0
24202,1,0,0,0,0,0
24300,1,18,24,30,66,48
24400,1,36,54,39,126,75
24500,1,6,27,12,45,18
24600,1,18,18,12,51,33
24700,1,9,27,3,42,15
24800,1,0,0,0,0,0
24900,1,3,0,18,24,24
25000,1,9,0,12,21,21
25100,1,21,6,33,60,54
25200,1,24,6,27,54,51
25300,1,30,3,30,66,60
25400,1,9,3,21,33,30
25500,1,21,6,21,42,39
25600,1,15,3,15,36,30
25700,1,18,3,6,27,24
25800,1,33,6,27,66,63
25900,1,6,6,9,18,15
26001,1,18,3,9,30,27
26002,1,33,57,30,120,63
26100,1,0,0,0,3,0
