meshblock_id,census_year_id,couple_with_children,couple_without_children,one_parent,total
34102,1,0,0,0,6
34201,1,12,6,3,21
34202,1,9,18,6,30
34301,1,6,3,0,9
34302,1,0,0,0,0
34400,1,9,6,3,18
34500,1,6,6,0,15
34600,1,6,12,0,18
34700,1,9,12,12,33
34800,1,3,6,0,9
34900,1,9,6,0,12
35000,1,9,12,0,24
35100,1,0,0,0,6
35200,1,9,18,6,33
35300,1,0,6,3,6
35401,1,0,0,0,3
35402,1,3,3,3,9
35501,1,6,3,3,12
35502,1,0,0,0,3
35600,1,6,9,3,12
35700,1,15,12,6,33
35800,1,9,6,6,24
35900,1,18,12,3,33
36000,1,3,3,3,6
36100,1,6,3,3,15
36202,1,0,0,0,0
36203,1,0,0,0,3
36204,1,0,0,0,3
36301,1,0,0,0,3
36302,1,9,12,3,24
36303,1,0,0,0,3
36401,1,0,0,0,6
36402,1,0,0,0,3
36500,1,6,6,3,15
36600,1,0,0,0,0
36700,1,9,12,9,30
36800,1,3,3,3,6
36901,1,0,0,0,3
36902,1,0,0,0,3
37000,1,6,0,3,9
37100,1,0,0,0,0
37202,1,0,0,0,3
37203,1,0,0,0,0
37204,1,0,0,0,0
37205,1,0,0,0,0
37301,1,0,0,0,0
37302,1,0,0,0,3
37401,1,6,12,6,21
37402,1,6,6,15,27
37501,1,0,3,3,6
37502,1,0,6,3,6
37600,1,0,6,6,12
37701,1,0,3,6,6
37702,1,0,0,0,6
37802,1,21,9,18,48
37803,1,3,6,3,15
37804,1,0,0,0,0
37805,1,0,0,0,3
37806,1,0,0,0,0
37807,1,9,9,0,18
37901,1,3,6,3,15
37902,1,0,0,0,0
38001,1,6,3,3,9
38002,1,0,0,0,0
38100,1,6,9,6,18
38200,1,6,9,9,21
38300,1,6,0,9,15
38400,1,6,6,3,12
38500,1,3,6,6,15
38600,1,6,6,6,18
38700,1,12,3,6,21
38800,1,0,0,0,3
38900,1,3,3,3,9
39000,1,9,6,6,21
39100,1,6,9,3,15
39200,1,6,6,3,9
39300,1,6,0,3,6
39400,1,0,0,0,3
39500,1,9,3,9,21
39600,1,9,0,3,12
39701,1,0,0,0,3
39702,1,0,0,0,6
39800,1,6,0,3,9
39900,1,6,6,6,18
40001,1,0,0,0,3
40002,1,0,0,0,3
40100,1,3,0,0,6
40200,1,6,3,3,12
40300,1,0,0,0,6
40400,1,0,0,0,0
40501,1,3,3,6,15
40502,1,0,0,0,0
40601,1,3,3,3,6
40602,1,0,0,0,0
40701,1,18,12,9,36
40702,1,6,3,6,15
40703,1,9,9,9,27
40801,1,12,9,6,30
40802,1,6,3,0,9
40900,1,6,6,12,24
41000,1,0,0,0,6
41100,1,6,9,12,24
41200,1,15,12,12,42
41300,1,18,15,9,45
41401,1,6,9,3,18
41402,1,3,6,15,24
41403,1,12,12,6,33
41500,1,6,3,0,9
41600,1,6,6,6,15
41700,1,12,9,12,33
41800,1,12,9,6,24
41900,1,15,9,6,27
42001,1,6,6,12,24
42002,1,9,6,6,21
42101,1,0,0,0,3
42102,1,6,3,9,21
42103,1,6,3,6,15
42201,1,0,0,0,0
42202,1,18,15,36,69
42300,1,18,3,15,39
42400,1,6,6,6,21
42500,1,6,6,6,18
42600,1,9,0,0,9
42700,1,9,3,12,24
42800,1,0,0,0,3
42900,1,3,6,3,9
43000,1,9,6,9,24
43100,1,12,9,9,30
43200,1,9,3,15,30
43300,1,6,0,3,12
43400,1,3,3,3,9
43500,1,21,3,12,36
43600,1,9,6,3,15
43700,1,0,0,0,6
43800,1,18,9,3,30
43902,1,0,6,0,9
43904,1,15,6,3,24
43905,1,15,12,0,27
43906,1,24,18,6,51
43907,1,9,15,3,30
44003,1,18,15,3,36
44004,1,15,15,6,33
44005,1,24,12,0,33
44006,1,9,12,3,21
44007,1,0,0,0,3
44008,1,6,6,3,15
44101,1,0,0,0,0
44102,1,21,27,9,57
44201,1,3,3,6,12
44202,1,0,0,0,0
44301,1,9,6,0,18
44302,1,0,0,0,0
44402,1,0,0,0,0
44403,1,6,15,3,21
44404,1,12,30,12,57
44405,1,6,18,3,21
44406,1,12,27,6,45
44501,1,24,33,3,57
44503,1,0,0,0,6
44504,1,12,12,6,30
44505,1,12,12,3,24
44506,1,0,0,0,3
44507,1,6,12,0,15
44508,1,3,9,3,12
44602,1,9,15,3,30
44603,1,6,6,0,12
44604,1,0,0,0,3
44605,1,6,9,0,15
44606,1,3,6,0,9
44607,1,0,0,0,0
44608,1,0,0,0,6
44609,1,0,0,0,3
44610,1,0,0,0,3
44611,1,0,0,0,0
44701,1,9,9,3,24
44702,1,18,21,6,45
44703,1,0,0,0,0
44801,1,18,18,3,42
44803,1,3,6,0,15
44804,1,6,6,6,15
44805,1,3,3,3,9
44806,1,3,9,0,15
44807,1,9,9,0,18
44808,1,6,9,0,12
44901,1,9,6,0,18
44902,1,0,0,0,6
45000,1,9,9,6,21
45100,1,6,9,0,15
45200,1,6,3,0,12
45300,1,6,3,3,12
45400,1,0,6,3,12
45500,1,0,0,0,3
45600,1,3,3,3,9
45700,1,0,0,0,3
45800,1,9,3,0,15
45901,1,6,6,0,9
45902,1,6,3,0,9
46001,1,0,0,0,6
46002,1,3,6,3,9
46100,1,3,3,0,6
46200,1,3,3,0,6
46300,1,0,0,0,6
46400,1,9,0,6,15
46500,1,0,0,0,3
46600,1,0,0,0,3
46700,1,3,3,6,15
46801,1,0,0,0,3
46802,1,0,0,0,6
46901,1,0,0,0,3
46902,1,0,0,0,6
47001,1,0,0,0,0
47002,1,0,0,0,3
47100,1,0,0,0,0
47200,1,0,0,0,0
47301,1,3,0,6,12
47302,1,0,0,0,3
47400,1,0,0,0,3
47500,1,0,3,3,9
47601,1,0,0,0,3
47602,1,0,0,0,0
47603,1,9,3,0,12
47701,1,3,3,6,12
47702,1,0,0,0,0
47801,1,6,3,0,6
47802,1,0,0,0,3
47901,1,6,6,6,15
47902,1,0,0,0,0
48001,1,6,3,3,12
48003,1,0,0,0,0
48004,1,3,6,3,9
48101,1,0,0,0,3
48102,1,0,0,0,3
48201,1,0,0,0,0
48203,1,9,3,6,18
48204,1,12,9,9,30
48205,1,0,0,0,3
48301,1,0,0,0,0
48303,1,6,9,3,18
48304,1,3,6,0,12
48403,1,0,0,0,0
48404,1,9,15,3,27
48405,1,0,0,0,0
48406,1,0,0,0,0
48407,1,0,0,0,0
48408,1,9,21,0,30
48409,1,12,27,3,39
48410,1,9,30,3,39
48500,1,3,0,3,9
48601,1,0,0,0,0
48602,1,0,0,0,0
48701,1,0,0,0,0
48702,1,6,9,0,21
48800,1,0,6,3,9
48900,1,3,3,3,9
49000,1,12,3,3,18
49102,1,3,3,3,9
49103,1,0,0,0,0
49104,1,0,0,0,0
49105,1,0,0,0,0
49203,1,0,0,0,0
49204,1,15,39,9,63
49205,1,0,0,0,0
49206,1,12,15,3,27
49302,1,15,27,3,45
49303,1,0,0,0,3
49304,1,0,12,3,18
49305,1,0,6,0,6
49306,1,3,9,3,15
49307,1,6,6,3,18
