meshblock_id,census_year_id,doctortates,level_five_or_six,level_four,level_one,level_seven,level_three,level_two,masters,no_qualification,not_elsewhere_included,overseas_secondary,postgraduate,total,total_stated
2445101,3,0,12,15,18,3,3,12,3,51,18,3,0,141,120
2445102,3,0,3,6,9,6,0,3,0,27,12,6,3,69,57
2445200,3,0,6,3,12,6,9,6,0,21,9,0,3,72,63
2445300,3,0,15,9,12,3,3,9,3,30,12,0,3,99,87
2445401,3,0,15,21,24,15,9,21,0,42,15,6,6,171,156
2445402,3,0,9,6,12,6,6,9,0,18,6,3,3,72,69
2445500,3,0,6,0,6,3,3,0,3,3,0,0,0,30,30
2445600,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2445700,3,0,18,9,24,6,9,15,0,102,33,12,0,237,207
2445800,3,0,21,15,21,6,12,12,3,27,21,6,3,150,132
2445901,3,0,6,9,15,3,6,6,0,24,9,0,0,81,72
2445902,3,0,18,18,21,12,12,15,0,54,24,6,0,177,153
2446002,3,0,9,18,24,9,12,18,0,42,12,6,3,156,144
2446003,3,0,9,15,21,6,9,12,0,24,6,3,3,108,105
2446004,3,0,12,12,15,6,9,15,3,33,9,6,0,120,111
2446005,3,0,6,18,18,3,6,15,0,30,12,6,0,117,105
2446006,3,0,9,15,24,3,15,12,0,42,21,3,3,147,123
2446007,3,0,15,15,15,6,6,12,0,48,15,9,0,144,129
2446100,3,0,12,21,24,6,12,12,3,45,15,3,0,150,135
2446203,3,0,3,3,9,6,3,3,0,15,3,0,0,45,39
2446204,3,0,6,12,9,3,9,12,0,33,12,3,0,96,87
2446205,3,0,3,6,6,3,3,9,0,24,6,3,0,63,57
2446206,3,0,12,9,30,6,6,18,0,33,15,0,3,132,117
2446207,3,0,0,0,0,0,6,0,0,0,0,0,0,24,18
2446301,3,0,12,12,24,6,6,12,3,39,12,3,3,129,114
2446302,3,0,12,9,15,3,6,15,0,15,9,6,0,96,87
2446401,3,0,6,6,6,3,0,6,0,12,6,0,0,39,36
2446406,3,0,9,18,12,6,9,15,3,15,12,6,3,105,93
2446407,3,0,12,9,12,15,6,6,0,21,9,3,6,99,90
2446408,3,0,3,3,3,3,3,6,0,12,3,0,0,39,39
2446409,3,0,0,6,0,0,0,0,0,0,0,0,0,24,21
2446410,3,0,6,3,3,6,3,3,0,6,0,0,0,36,33
2446411,3,0,3,12,9,9,3,6,0,15,0,0,0,57,57
2446412,3,0,3,3,6,6,0,3,0,12,3,3,0,39,39
2446413,3,0,6,6,6,6,3,3,0,9,3,6,0,48,48
2446414,3,0,6,9,6,6,3,6,3,15,3,0,3,54,51
2446415,3,0,6,9,15,6,12,9,0,9,0,3,3,72,69
2446416,3,0,0,6,9,0,6,6,0,12,0,3,0,45,42
2446501,3,0,12,6,6,3,3,12,3,9,3,0,3,54,51
2446502,3,0,0,6,9,3,3,6,0,6,3,3,0,39,36
2446601,3,0,0,0,0,0,0,0,0,0,0,0,0,15,12
2446602,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2446702,3,0,18,21,24,12,9,6,6,33,9,3,3,144,135
2446703,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2446704,3,3,6,3,12,6,9,0,0,3,3,0,0,45,42
2446802,3,0,3,12,18,3,6,21,0,30,12,3,3,117,102
2446803,3,0,0,0,0,0,0,0,0,0,0,0,0,9,6
2446804,3,0,24,33,27,21,15,24,3,21,6,15,3,198,192
