meshblock_id,census_year_id,family_trust,not_elsewhere_included,not_owned,owned,total,total_stated
36202,1,0,0,0,0,3,0
36203,1,0,0,0,0,3,0
36204,1,0,0,0,0,3,0
36301,1,0,0,0,0,6,0
36302,1,0,0,9,18,30,27
36303,1,0,0,0,0,3,0
36401,1,0,3,0,9,15,12
36402,1,0,0,0,0,3,0
36500,1,0,3,3,15,18,18
36600,1,0,0,0,0,0,0
36700,1,0,6,6,24,36,27
36800,1,0,3,0,3,9,6
36901,1,0,0,0,0,3,0
36902,1,0,3,3,3,6,6
37000,1,0,6,3,9,21,18
37100,1,0,0,0,0,3,0
37202,1,0,0,0,0,6,0
37203,1,0,0,0,0,0,0
37204,1,0,0,0,0,0,0
37205,1,0,0,0,0,0,0
37301,1,0,0,0,0,0,0
37302,1,0,0,0,0,3,0
37401,1,0,6,6,21,33,27
37402,1,0,9,12,27,48,42
37501,1,0,0,3,9,15,12
37502,1,0,3,0,6,9,6
37600,1,0,0,9,12,21,18
37701,1,0,0,0,6,6,6
37702,1,0,3,3,3,9,6
37802,1,0,12,24,24,60,48
37803,1,0,0,3,12,18,18
37804,1,0,0,0,0,3,0
37805,1,0,0,0,0,3,0
37806,1,0,0,0,0,0,0
37807,1,0,0,0,18,15,15
37901,1,0,3,6,6,18,15
37902,1,0,0,0,0,0,0
38001,1,0,3,3,6,9,9
38002,1,0,0,0,0,0,0
38100,1,0,0,3,15,18,18
38200,1,0,3,6,18,24,27
38300,1,0,0,3,12,15,15
38400,1,0,3,3,9,12,12
38500,1,0,0,6,12,21,18
38600,1,0,0,6,12,18,18
38700,1,0,0,6,15,21,18
38800,1,0,0,0,0,3,0
38900,1,0,3,3,9,15,9
39000,1,0,6,9,15,30,21
39100,1,0,3,0,12,15,12
39200,1,0,0,3,6,12,12
39300,1,0,0,3,6,6,6
39400,1,0,0,0,0,6,0
39500,1,0,6,9,15,30,21
39600,1,0,0,3,12,15,12
39701,1,0,0,0,0,6,0
39702,1,0,0,0,0,6,0
39800,1,0,3,0,6,9,9
39900,1,0,6,6,18,30,21
40001,1,0,0,0,0,3,0
40002,1,0,3,3,3,6,3
40100,1,0,3,3,6,9,6
40200,1,0,3,3,12,18,15
40300,1,0,3,0,6,9,6
40400,1,0,0,0,0,6,0
40501,1,0,0,6,9,18,15
40502,1,0,0,0,0,0,0
40601,1,0,0,3,12,15,15
40602,1,0,0,0,0,0,0
40701,1,0,6,18,18,42,33
40702,1,0,3,6,6,18,12
40703,1,0,3,12,18,33,30
40801,1,0,3,9,27,39,36
40802,1,0,0,3,12,15,15
40900,1,0,0,9,21,30,27
41000,1,0,9,24,3,36,27
41100,1,0,6,12,24,39,36
41200,1,0,6,27,24,60,54
41300,1,0,3,21,39,63,60
41401,1,0,0,6,15,18,21
41402,1,0,3,12,15,36,30
